id,bairro,cep,cidade,cpf,data_nasc,email,endereco,estado,idade,mae,nome,numero,signo,tipo_sanguineo,
232,Nova Altamira,68371-618,Altamira,670.963.185-00,20/10/1961,lleandrokaiqueandersondias@eletrolexeng.com.br,Rua Claudio Vitorino Rodrigues,PA,58,Aparecida Sophia ,Leandro Kaique Anderson Dias,405,Libra,A-,
233,Dom Bosco,76907-758,Ji-Parana,796.508.887-80,10/10/1998,ccalebeheitorlopes@caporal.biz,Rua Rio Jaru,RO,21,Amanda Fernanda Isabelle ,Calebe Heitor Lopes,153,Libra,A-,
234,Jardim Ana Beatriz I,72902-268,Santo Antonio do Descoberto,020.263.525-26,16/11/1978,rafaelsebastiaomartinpereira__rafaelsebastiaomartinpereira@yogoothies.com.br,Quadra Quadra 32,GO,41,Malu Juliana Luzia ,Rafael Sebastiao Martin Pereira,756,Escorpiao,O-,
235,Dezoito do Forte,49072-275,Aracaju,365.133.380-93,01/12/1959,raimundojuliodacosta..raimundojuliodacosta@imobiliariamaciel.com.br,Rua General Seroa da Mota,SE,60,Carolina Carolina Barbara ,Raimundo Julio da Costa,638,Sagitario,AB-,
236,Vila Nova,65912-090,Imperatriz,329.361.920-72,05/01/1972,iagomartincardoso_@atualecomex.com.br,Rua Teotonio Vilela,MA,47,Julia Marina ,Iago Martin Cardoso,985,Capricornio,AB+,
237,Setor Habitacional Arniqueira (Aguas Claras),71995-390,Brasilia,731.580.772-13,06/04/1980,igormanuelfernandes_@coreval.com.br,Conjunto SHA Conjunto 5 Chacara 99,DF,39,Evelyn Giovanna ,Igor Manuel Fernandes,801,Aries,O-,
238,Cidade Nova,65633-614,Timon,121.877.831-89,03/04/1981,luiscaualima__luiscaualima@patriciagrillo.adv.br,Rua Onze,MA,38,Carolina Isabelle ,Luis Caua Lima,848,Aries,B-,
239,Jabotiana,49095-050,Aracaju,417.359.500-09,20/12/1950,miguelnicolaslucasnunes..miguelnicolaslucasnunes@uol.om.br,Rua Antonio Doria da Silva,SE,69,Ester Evelyn Silvana ,Miguel Nicolas Lucas Nunes,573,Sagitario,B-,
240,Centro,79904-520,Ponta Pora,005.072.113-59,08/03/1970,mmiguelbrunoalexandredias@metraseg.com.br,Rua Soldado Tomaz Antonio Machado,MS,49,Luciana Eloa Gabrielly ,Miguel Bruno Alexandre Dias,523,Peixes,O-,
241,Tancredo Neves,41205-044,Salvador,912.618.889-95,03/10/1939,ggustavobryanjesus@eletrovip.com,Avenida Valter Diniz,BA,80,Luana Emanuelly ,Gustavo Bryan Jesus,497,Libra,A-,
242,Boa Esperanca,59140-392,Parnamirim,246.388.311-17,01/02/1989,bernardoclaudiomoreira-94@redacaofinal.com.br,Rua Quatro de Julho,RN,30,Yasmin Raimunda ,Bernardo Claudio Moreira,115,Aquario,AB+,
243,Novo Buritizal,68904-780,Macapa,192.604.429-07,13/04/1994,sebastiaobenicioheitorjesus__sebastiaobenicioheitorjesus@iaru.com,Avenida Almerindo S. Farias,AP,25,Nicole Sonia ,Sebastiao Benicio Heitor Jesus,868,Aries,B+,
244,Ilson Ribeiro,69914-562,Rio Branco,426.302.345-50,26/12/1942,leviluanviana..leviluanviana@hotmail.com,Rua Mico Leao,AC,77,Ana Claudia ,Levi Luan Viana,506,Capricornio,O+,
245,Farolandia,49032-330,Aracaju,613.127.584-06,11/01/1975,ssamuelosvaldolopes@multmed.com.br,Rua Jose do Prado Barreto,SE,44,Carolina Manuela Evelyn ,Samuel Osvaldo Lopes,534,Capricornio,A+,
246,Distrito Industrial Governador Aquilino Mota Duarte,69315-335,Boa Vista,105.115.566-59,08/09/2001,giovannipedromarcosviniciusgalvao-70@revati.com.br,Rua Aderson Passidonio Filho,RR,18,Raimunda Benedita Olivia ,Giovanni Pedro Marcos Vinicius Galvao,982,Virgem,A-,
247,Jardim Equatorial,68903-001,Macapa,069.150.931-09,21/02/1943,thiagofernandonascimento..thiagofernandonascimento@4now.com.br,Rua Jose Chaves Cohen,AP,76,Rafaela Elza Caroline ,Thiago Fernando Nascimento,848,Peixes,AB-,
248,San Remo,86062-425,Londrina,049.619.298-16,08/11/1985,rafaelbeniciomoreira__rafaelbeniciomoreira@ymail.com,Praca Vicente Leporace,PR,34,Andrea Larissa ,Rafael Benicio Moreira,661,Escorpiao,B-,
249,Centro,72900-142,Santo Antonio do Descoberto,513.641.006-06,22/05/1971,ddavimateusnogueira@dc4.com.br,Quadra Quadra 119,GO,48,Fabiana Lucia ,Davi Mateus Nogueira,971,Gemeos,A+,
250,Centro,76801-082,Porto Velho,669.134.149-00,22/08/1940,rrobertogustavofernandes@valedesign.com.br,Rua Irma Capelli,RO,79,Sophia Helena ,Roberto Gustavo Fernandes,762,Leao,AB+,
251,Asa Branca,69312-268,Boa Vista,006.410.850-36,17/02/1955,ccarlossamuelclaudiorocha@deze7.com.br,Rua Jair da Silva Mota,RR,64,Marina Louise ,Carlos Samuel Claudio Rocha,112,Aquario,AB+,
252,Vila Cristina,32675-390,Betim,037.607.925-88,14/11/1992,vitorpietromariobaptista_@bol.br,Rua Caldas,MG,27,Nicole Marina ,Vitor Pietro Mario Baptista,321,Escorpiao,AB+,
253,Alto Alegre,76909-634,Ji-Parana,068.892.706-81,06/12/1980,gaelmarcioferreira__gaelmarcioferreira@likaleal.com.br,Rua Francisco Pereira dos Santos,RO,39,Tatiane Larissa ,Gael Marcio Ferreira,226,Sagitario,A+,
254,Mar do Norte,28898-164,Rio das Ostras,878.027.696-20,08/03/1939,victorsergioisaaccarvalho_@damha.com.br,Rua Amendoeiras,RJ,80,Raquel Rayssa ,Victor Sergio Isaac Carvalho,880,Peixes,B+,
255,Santa Tereza,29026-841,Vitoria,103.208.712-90,07/10/1987,julionoahfabiojesus_@marktechbr.com.br,Rua Ernesto Bassini,ES,32,Agatha Regina Emilly ,Julio Noah Fabio Jesus,749,Libra,AB-,
256,Prefeito Jose Walter,60751-265,Fortaleza,535.895.307-82,07/10/1962,cauecarloseduardoosvaldobrito..cauecarloseduardoosvaldobrito@konzeption.com.br,Rua D,CE,57,Marli Renata ,Caue Carlos Eduardo Osvaldo Brito,346,Libra,B-,
257,Sao Joao,32655-556,Betim,667.158.584-97,21/08/1973,hugobeniciobrito__hugobeniciobrito@endoimplantes.com.br,Rua Caldas da Rainha,MG,46,Camila Eduarda Sandra ,Hugo Benicio Brito,311,Leao,O+,
258,Taquara,22725-050,Rio de Janeiro,985.048.610-40,22/03/1969,giovannieliasdasilva_@agrosb.com.br,Rua Nilson Resende,RJ,50,Alicia Heloise ,Giovanni Elias da Silva,908,Aries,O+,
259,Federacao,40230-585,Salvador,084.807.163-80,20/01/1958,luizpauloianteixeira_@novaface.com.br,Beco da Gia,BA,61,Luciana Rosa ,Luiz Paulo Ian Teixeira,359,Capricornio,O-,
260,Laranjeiras,89167-522,Rio do Sul,723.963.743-38,04/07/1941,severinomigueljoaquimlima_@hlt.arq.br,Rua Salvador,SC,78,Isis Eloa ,Severino Miguel Joaquim Lima,744,Cancer,B-,
261,Nova Republica,65090-435,Sao Luis,019.812.577-13,14/10/2000,eliasoliverdaconceicao__eliasoliverdaconceicao@transportadoratransdel.com.br,Rua Um,MA,19,Tania Joana ,Elias Oliver da Conceicao,515,Libra,O+,
262,Zerao,68903-251,Macapa,389.175.082-00,23/11/1945,nicolassergiorezende..nicolassergiorezende@radicigroup.com,Travessa Professora Maria Guita,AP,74,Daniela Lavinia Rosa ,Nicolas Sergio Rezende,711,Sagitario,AB-,
263,Jardim Taruma,79097-350,Campo Grande,267.456.455-56,24/05/1989,samuelleandrogaelmoura..samuelleandrogaelmoura@santosferreira.adv.br,Rua Fanorte,MS,30,Evelyn Teresinha Catarina ,Samuel Leandro Gael Moura,625,Gemeos,AB+,
264,Ponta do Farol,65075-839,Sao Luis,086.328.749-26,27/05/1941,caleblucasmigueldaluz..caleblucasmigueldaluz@cruiser.com.br,Rua Parnaiba,MA,78,Alessandra Helena ,Caleb Lucas Miguel da Luz,815,Gemeos,B+,
265,Jardim Tropical,69901-245,Rio Branco,771.342.988-33,25/10/1971,aalexandredanilofigueiredo@right.com.br,Rua das Palmas,AC,48,Carolina Patricia Isabelly ,Alexandre Danilo Figueiredo,153,Escorpiao,O+,
266,Cidade Industrial,81450-715,Curitiba,289.096.221-05,11/06/1986,ddanielfernandocavalcanti@pp33.com.br,Rua Pedro Andretta,PR,33,Camila Fernanda ,Daniel Fernando Cavalcanti,653,Gemeos,AB+,
267,Fonte Nova,68928-187,Santana,617.633.879-41,27/06/1995,vitorlorenzomendes..vitorlorenzomendes@csa.edu.br,Avenida Sete de Setembro,AP,24,Leticia Esther Elisa ,Vitor Lorenzo Mendes,251,Cancer,O+,
268,Serraria,57046-256,Maceio,719.154.747-28,10/02/1964,cesarluanjoaopereira-84@esctech.com.br,Rua Progresso,AL,55,Larissa Beatriz ,Cesar Luan Joao Pereira,104,Aquario,O-,
269,Partenon,91530-470,Porto Alegre,698.372.701-01,18/03/1960,felipecauadarosa_@jonasmartinez.com,Rua Doutor Francisco de Sa Brito,RS,59,Fabiana Nina Maria ,Felipe Caua da Rosa,771,Peixes,O+,
270,Sao Judas,88303-490,Itajai,949.356.944-67,18/06/1945,eenzobeniciolorenzomoreira@aprimor.com,Rua Fabio Cesario Pereira,SC,74,Luciana Emily Teresinha ,Enzo Benicio Lorenzo Moreira,592,Gemeos,O-,
271,Aparecida do Norte,35171-164,Coronel Fabriciano,494.409.279-25,25/07/1985,oliveralexandredarosa__oliveralexandredarosa@bidoul.eng.br,Rua Pernambuco,MG,34,Daiane Rosa ,Oliver Alexandre da Rosa,879,Leao,O-,
272,Prado,57010-010,Maceio,909.116.639-83,06/10/1994,samuelleandroaragao__samuelleandroaragao@iega.com.br,Rua Academico Jose Macedo Franca,AL,25,Nicole Sophie Raimunda ,Samuel Leandro Aragao,862,Libra,O+,
273,Universitario,29024-500,Vitoria,102.437.819-54,05/08/1945,kkevinotavioalves@amoamar.com.br,Rodovia Serafim Derenzi,ES,74,Clarice Isabel Bianca ,Kevin Otavio Alves,337,Leao,AB-,
274,Setor 03,76870-448,Ariquemes,707.423.988-70,19/10/1964,thomascesarmariosantos..thomascesarmariosantos@br.festo.com,Alameda Salvador,RO,55,Rita Carolina ,Thomas Cesar Mario Santos,341,Libra,B-,
275,Novo Paraiso,35504-024,Divinopolis,821.873.282-95,17/12/1958,eedsonigorviniciusaragao@accor.com.br,Rua Batido do Sol,MG,61,Stella Marlene Gabrielly ,Edson Igor Vinicius Aragao,971,Sagitario,AB-,
276,Feitosa,57043-230,Maceio,380.217.621-95,02/12/1967,nnelsonjoaquimmoreira@life.com,Rua Acre,AL,52,Alicia Livia ,Nelson Joaquim Moreira,246,Sagitario,AB-,
277,Novo das Industrias (Barreiro),30610-592,Belo Horizonte,171.910.071-33,08/10/1970,andersonandreassis-96@wwlimpador.com.br,Beco Santa Clara,MG,49,Luana Flavia Cristiane ,Anderson Andre Assis,847,Libra,B+,
278,Vale do Sol,59143-225,Parnamirim,093.711.653-08,12/06/1992,mmiguelkevinfogaca@tia.mat.br,Rua Irene Fernandes de Castro,RN,27,Alicia Regina Mariah ,Miguel Kevin Fogaca,402,Gemeos,O-,
279,Jardim Leblon,79092-030,Campo Grande,624.585.782-17,25/03/2001,carlosmatheusgaelbrito_@soupelli.com.br,Avenida Paulo Correa da Costa,MS,18,Analu Rafaela Lavinia ,Carlos Matheus Gael Brito,598,Aries,AB+,
280,Centro,63725-974,Ibiapaba,996.012.335-98,01/07/1949,calebpietrorodrigues_@comercialrafael.com.br,Rua Geraldino Alves de Almeida, s/n,CE,70,Ayla Eloa Manuela ,Caleb Pietro Rodrigues,446,Cancer,B+
281,Canafistula,57302-060,Arapiraca,517.168.627-01,22/01/1953,caueaugustorodrigosales__caueaugustorodrigosales@prlme.com.br,Rua Santa Isabel,AL,66,Vera Mariana ,Caue Augusto Rodrigo Sales,418,Aquario,B+,
282,Matadouro,27115-080,Barra do Pirai,743.360.841-90,10/01/1939,paulooliverduarte-82@yahoo.fr,Rua Capitao Domingos Antonio Carvalho,RJ,80,Sophia Rafaela ,Paulo Oliver Duarte,354,Capricornio,B-,
283,Ilha das Flores,29115-625,Vila Velha,846.472.589-20,01/06/1947,henriquecalebmurilomonteiro_@rubens.adm.br,Rua Wilson Batista,ES,72,Vitoria Priscila ,Henrique Caleb Murilo Monteiro,977,Gemeos,AB+,
284,Bacuri,65916-163,Imperatriz,841.553.663-12,10/07/1981,osvaldobrenodrumond..osvaldobrenodrumond@meteorus.com.br,Rua Projetada A2,MA,38,Eduarda Eliane Marlene ,Osvaldo Breno Drumond,508,Cancer,AB-,
285,Santo Antonio,64029-280,Teresina,935.716.828-15,22/10/1988,guilhermeandrerodrigues_@tjsp.jus.br,Rua Deusdethe Farias,PI,31,Clarice Leticia Lais ,Guilherme Andre Rodrigues,238,Libra,B+,
286,Papine (Justinopolis),33900-610,Ribeirao das Neves,017.407.092-68,09/05/1945,danieldanilocaiolima-89@dvdja.com.br,Rua Izeta Vieira da Silva,MG,74,Lorena Juliana ,Daniel Danilo Caio Lima,940,Touro,B+,
287,Potengi,59124-690,Natal,641.938.914-37,06/11/1940,samuelotaviogustavoaparicio__samuelotaviogustavoaparicio@flex-erp.com,Rua Anapolis,RN,79,Bianca Maite Francisca ,Samuel Otavio Gustavo Aparicio,880,Escorpiao,O+,
288,Doutor Silvio Botelho,69314-452,Boa Vista,373.354.266-50,25/06/1983,manuelguilhermeosvaldooliveira-79@hitmail.com,Rua Delman Veras,RR,36,Gabrielly Josefa ,Manuel Guilherme Osvaldo Oliveira,914,Cancer,O+,
289,Santa Terezinha (2a Etapa),78089-776,Cuiaba,028.995.529-70,26/12/1944,thalescarlosyuriassis..thalescarlosyuriassis@emcinfo.com.br,Rua 32,MT,75,Lorena Emanuelly Barbara ,Thales Carlos Yuri Assis,922,Capricornio,AB+,
290,Alto Alegre,69921-248,Rio Branco,881.790.698-00,06/02/1955,theovicentedossantos..theovicentedossantos@sectron.com.br,Estrada Juarez Tavora,AC,64,Vanessa Julia ,Theo Vicente dos Santos,363,Aquario,A+,
291,Parque Anhanguera,65916-221,Imperatriz,945.984.830-32,21/07/1948,raulanthonypeixoto..raulanthonypeixoto@peopleside.com.br,Rua Gama,MA,71,Simone Eduarda ,Raul Anthony Peixoto,610,Cancer,A-,
292,Prefeito Jose Walter,60750-260,Fortaleza,296.740.134-07,06/12/1963,theosergiodavigoncalves_@andradecamara.com.br,Rua 12,CE,56,Pietra Mariane Carolina ,Theo Sergio Davi Goncalves,788,Sagitario,B-,
293,Sao Conrado,49043-323,Aracaju,021.549.954-97,09/08/1952,lucassergiorenanaragao-98@landovale.com.br,Travessa Q2,SE,67,Tania Rayssa Jessica ,Lucas Sergio Renan Aragao,961,Leao,A+,
294,Vila Tavares,35680-143,Itauna,288.074.846-17,23/11/2001,levinelsonnoahdarocha_@proxion.com.br,Rodovia MG-431,MG,18,Vanessa Leticia Yasmin ,Levi Nelson Noah da Rocha,981,Sagitario,O+,
295,Tancredo Neves,69921-803,Rio Branco,881.920.976-41,09/02/1993,pedrosamueldanielnunes-76@midiasim.com.br,Rua 12 de Junho,AC,26,Tereza Mirella ,Pedro Samuel Daniel Nunes,220,Aquario,A-,
296,Jardim Guairaca,87075-827,Maringa,577.272.599-85,10/07/1981,lucaskauecaiosouza..lucaskauecaiosouza@spamgourmet.com,Rua 19157,PR,38,Patricia Luiza Vanessa ,Lucas Kaue Caio Souza,167,Cancer,AB+,
297,Parque Sul,64036-600,Teresina,774.404.420-75,18/06/1954,claudioarthuralves__claudioarthuralves@osbocops.com,Residencial Alberto Elias Hidd,PI,65,Cristiane Carla ,Claudio Arthur Alves,769,Gemeos,A-,
298,Montanhes,69921-392,Rio Branco,088.106.979-52,04/12/1989,ccesarisaacluismelo@fepextrusao.com.br,Rua da Uva,AC,30,Julia Flavia Evelyn ,Cesar Isaac Luis Melo,973,Sagitario,O-,
299,Deputado Jose Antonio Liberato,55027-200,Caruaru,155.621.203-80,14/07/1953,aanthonygeraldosouza@cbsdobrasil.com.br,Rua Alda Rosa,PE,66,Simone Nina ,Anthony Geraldo Souza,959,Cancer,O+,
300,Jardim Presidente,75908-630,Rio Verde,472.454.892-46,26/09/1969,ianbeneditobrunopeixoto_@gtx.ag,Rua 135,GO,50,Sara Melissa ,Ian Benedito Bruno Peixoto,707,Libra,B+,
301,Cirurgia,49055-443,Aracaju,792.826.733-08,01/11/1990,oliverjosepereira-81@alstom.com,Rua Andreia Oliveira Passos,SE,29,Evelyn Juliana Andreia ,Oliver Jose Pereira,943,Escorpiao,AB-,
302,Plataforma,40710-565,Salvador,773.975.536-21,25/11/1997,ryanvicenterenanmartins__ryanvicenterenanmartins@yahoo.com.br,Travessa Iguacu,BA,22,Fabiana Stella ,Ryan Vicente Renan Martins,603,Sagitario,A+,
303,Abolicao,59619-260,Mossoro,461.789.157-99,15/08/1957,victormatheustiagoalves..victormatheustiagoalves@integrasjc.com.br,Rua Adriaozinho,RN,62,Lucia Carolina Brenda ,Victor Matheus Tiago Alves,137,Leao,A+,
304,Turu,65066-327,Sao Luis,141.760.525-11,24/06/1991,vicentenoahdasneves_@gabiaatelier.com.br,Rua do Bico,MA,28,Bruna Sandra ,Vicente Noah das Neves,774,Cancer,A-,
305,Setor Leste (Gama),72450-105,Brasilia,068.979.912-87,09/12/1971,rafaeljorgeteixeira__rafaeljorgeteixeira@hotmai.com,Quadra EQ 10/11,DF,48,Sandra Isabelle ,Rafael Jorge Teixeira,305,Sagitario,O-,
306,Setor Sul,73802-464,Formosa,384.375.808-54,10/06/1947,edsoniagogoncalves__edsoniagogoncalves@directnet.com,Rua Pirapora,GO,72,Brenda Carolina ,Edson Iago Goncalves,644,Gemeos,AB-,
307,Bela Vista,45990-214,Teixeira de Freitas,688.589.603-94,10/11/1976,iagocalebepinto__iagocalebepinto@trevorh.com.br,Rua Jequitiba,BA,43,Vitoria Alana Lucia ,Iago Calebe Pinto,176,Escorpiao,B-,
308,Rio do Ouro,24753-740,Sao Goncalo,305.268.577-57,12/03/1982,mmarcelojoaopeixoto@innovatis.com.br,Rua Adicional,RJ,37,Jennifer Fernanda ,Marcelo Joao Peixoto,787,Peixes,AB+,
309,Casaroto,98804-085,Santo Angelo,785.329.346-17,05/09/1956,noahlucasdossantos__noahlucasdossantos@viavaleseguros.com.br,Travessa Germano Mousquer,RS,63,Mariah Regina ,Noah Lucas dos Santos,830,Virgem,B+,
310,Equatorial,69317-392,Boa Vista,395.654.757-87,08/03/1942,lucashenrysebastiaocastro..lucashenrysebastiaocastro@csa.edu.br,Rua Cardeais,RR,77,Olivia Silvana ,Lucas Henry Sebastiao Castro,255,Peixes,A-,
311,Jardim Tropical,69314-716,Boa Vista,969.882.651-39,20/01/1951,calebsamuelluanbernardes_@ohms.com.br,Rua CJ-11,RR,68,Luana Lucia Giovana ,Caleb Samuel Luan Bernardes,773,Capricornio,AB+,
312,Nacoes,58402-715,Campina Grande,395.975.219-97,04/07/1982,manoeleduardobernardes__manoeleduardobernardes@gabiaatelier.com.br,Avenida Italia,PB,37,Isabela Luiza ,Manoel Eduardo Bernardes,987,Cancer,AB+,
313,Icui-Guajara,67125-007,Ananindeua,256.586.156-74,26/02/1958,josepietroalmada..josepietroalmada@fazergourmet.com.br,Alameda Pascoal,PA,61,Ester Aline ,Jose Pietro Almada,250,Peixes,B-,
314,Jardim Alvorada,86062-360,Londrina,455.276.603-15,11/04/1961,mmurilomateusnoahaparicio@uol.om.br,Rua Olimpia,PR,58,Silvana Eliane Maite ,Murilo Mateus Noah Aparicio,437,Aries,AB+,
315,Conjunto Procon,69918-666,Rio Branco,328.924.193-95,17/11/1954,cauahenriquedaluz..cauahenriquedaluz@conexao.com,Travessa Xapuri,AC,65,Luana Giovanna Fatima ,Caua Henrique da Luz,689,Escorpiao,B-,
316,Massaranduba,57309-754,Arapiraca,058.534.333-00,20/04/1962,nathanianfogaca-73@hushmail.com,Rua Manoel Tertuliano da Silva,AL,57,Heloisa Betina ,Nathan Ian Fogaca,903,Aries,B+,
317,Sao Lazaro,68908-513,Macapa,667.537.489-38,15/05/1980,marcosfranciscodasilva__marcosfranciscodasilva@estevao.ind.br,Rua Jose de Alencar,AP,39,Rosa Isabela Priscila ,Marcos Francisco da Silva,274,Touro,B-,
318,Nova Esperanca,76821-510,Porto Velho,249.665.335-20,19/11/1965,martinpaulobrenoalves__martinpaulobrenoalves@aquino.com.br,Avenida Rio Madeira,RO,54,Sabrina Gabrielly ,Martin Paulo Breno Alves,277,Escorpiao,B-,
319,Abolicao,59619-215,Mossoro,749.778.288-60,25/01/1991,theobenjaminthomasnascimento_@pierproj.com.br,Rua Francisco Souto,RN,28,Isabelle Luzia Giovana ,Theo Benjamin Thomas Nascimento,909,Aquario,B-,
320,Parque Verde,66635-577,Belem,019.806.885-91,22/10/1994,luizmanoelbenicioalmada..luizmanoelbenicioalmada@isbt.com.br,Passagem Margaridas,PA,25,Melissa Isadora ,Luiz Manoel Benicio Almada,387,Libra,A-,
321,Velha Central,89045-340,Blumenau,912.792.669-96,15/01/1973,franciscoenricoandersonviana__franciscoenricoandersonviana@almaquinas.com.br,Rua Heinz Grahl,SC,46,Debora Regina Louise ,Francisco Enrico Anderson Viana,875,Capricornio,O+,
322,Jardim Valeria,07124-640,Guarulhos,069.311.965-96,20/03/1979,samuelgaelcastro-99@gmx.com.br,Rua Beija-Flor,SP,40,Benedita Sonia Lara ,Samuel Gael Castro,640,Peixes,O+,
323,Serra Alta,89291-480,Sao Bento do Sul,323.215.574-00,09/01/1946,danielkevinmanuelpires-79@custodes.com.br,Rua Vicente Zeithammer,SC,73,Sara Cecilia ,Daniel Kevin Manuel Pires,298,Capricornio,AB+,
324,Equatorial,69317-352,Boa Vista,138.253.385-33,18/01/1976,diogofranciscodarosa__diogofranciscodarosa@brasildakar.com.br,Rua Rosa dos Ventos,RR,43,Tereza Rebeca Daniela ,Diogo Francisco da Rosa,733,Capricornio,AB+,
325,Invasao da Seis de Agosto,69905-709,Rio Branco,586.686.025-27,19/04/1970,luizandersondepaula__luizandersondepaula@raioazul.com.br,Rua Mata Mata,AC,49,Cristiane Isis Patricia ,Luiz Anderson de Paula,254,Aries,AB+,
326,Conjunto Residencial Patrocinio,77826-612,Araguaina,788.553.930-06,21/05/1941,filipeanthonyduarte..filipeanthonyduarte@franciscofilho.adv.br,Rua 2,TO,78,Isabel Jaqueline Ana ,Filipe Anthony Duarte,486,Gemeos,AB-,
327,Alto das Pombas,40226-085,Salvador,897.063.263-83,25/04/1940,eerickthalesjuliodacunha@me.com.br,Alto da Fonte,BA,79,Clarice Giovanna Ayla ,Erick Thales Julio da Cunha,681,Touro,A+,
328,Vila Ecologica (Barreiro),30670-510,Belo Horizonte,677.631.566-35,17/05/1961,cauelorenzorocha..cauelorenzorocha@tirel.com.br,Rua Novo Horizonte,MG,58,Kamilly Renata ,Caue Lorenzo Rocha,878,Touro,AB-,
329,Pedra de Guaratiba,23025-046,Rio de Janeiro,433.394.999-85,24/10/1995,ericknelsondapaz_@metraseg.com.br,Rua Sessenta e Oito,RJ,24,Claudia Francisca Ester ,Erick Nelson da Paz,839,Escorpiao,O-,
330,Vila Cachoeirinha,79814-480,Dourados,926.024.691-14,24/08/1994,ppedronathanjesus@modus.com.br,Rua Projetada A,MS,25,Stella Evelyn ,Pedro Nathan Jesus,756,Virgem,AB+,
331,Agulha (Icoaraci),66811-290,Belem,390.975.678-66,08/09/1972,severinohenriquedossantos..severinohenriquedossantos@uninorte.com.br,Alameda C,PA,47,Simone Eduarda ,Severino Henrique dos Santos,511,Virgem,AB-,
332,Conjunto Procon,69918-632,Rio Branco,872.663.668-95,03/08/1975,antoniobentoseverinoassuncao-90@orteca.com.br,Rua Joao Francisco da Cunha,AC,44,Teresinha Amanda Sarah ,Antonio Bento Severino Assuncao,160,Leao,O-,
333,Vieira,89257-042,Jaragua do Sul,262.890.157-96,13/11/1941,victorluanmiguelbrito-73@ggm.com.br,Rua Richard Bublitz,SC,78,Hadassa Mariane ,Victor Luan Miguel Brito,321,Escorpiao,O+,
334,Tijuca,94834-450,Alvorada,945.206.187-11,05/02/1965,calebemateusaraujo..calebemateusaraujo@ime.unicamp.br,Rua Zumbi,RS,54,Elza Mirella ,Calebe Mateus Araujo,872,Aquario,B+,
335,Candangolandia,71727-260,Brasilia,792.527.976-10,05/10/1958,henrysergiofreitas_@vivax.com.br,Quadra QRO A Bloco A,DF,61,Regina Maria ,Henry Sergio Freitas,255,Libra,O+,
336,Liberdade,68040-270,Santarem,372.961.158-58,13/02/1992,cesarandrelopes__cesarandrelopes@tera.com.br,Rua Sofia Imbiriba,PA,27,Maite Joana ,Cesar Andre Lopes,148,Aquario,O-,
337,Matinha,68458-770,Tucurui,448.913.620-06,23/03/1958,andersonnelsonvieira..andersonnelsonvieira@adherminer.com.br,Rua Firmino Ferreira,PA,61,Bianca Antonia ,Anderson Nelson Vieira,200,Aries,B+,
338,Residencial Park dos Buritis,77426-044,Gurupi,308.480.048-09,05/02/1964,marcosviniciusseverinocortereal-79@dpi.ig.br,Rua C2,TO,55,Cristiane Isis Laura ,Marcos Vinicius Severino Corte Real,573,Aquario,A-,
339,Novo Buritizal,68904-282,Macapa,512.271.094-58,02/06/1975,ddavilorenzolucasdaluz@2registrocivil.com.br,Avenida Aurora Ferreira da Costa,AP,44,Eloa Alice ,Davi Lorenzo Lucas da Luz,120,Gemeos,O-,
340,Feitoria,93052-672,Sao Leopoldo,273.849.896-55,06/07/1998,mmanoelenricorocha@etec.sp.gov.br,Rua Ricardo Alexandri Dantas,RS,21,Isabelly Debora ,Manoel Enrico Rocha,972,Cancer,B+,
341,Centro,07400-755,Aruja,664.840.025-09,02/05/1979,arthurraularaujo_@mesquita.not.br,Rua Fernando Costa Filho,SP,40,Larissa Priscila Cristiane ,Arthur Raul Araujo,269,Touro,A+,
342,Jose de Alencar,60830-415,Fortaleza,638.125.765-20,18/06/1983,felipeoliveryuridasilva-83@univap.br,Rua Sao Jose de Ribamar,CE,36,Agatha Luciana Marcia ,Felipe Oliver Yuri da Silva,548,Gemeos,O-,
343,Residencial Rosa Linda,69909-034,Rio Branco,570.886.839-20,22/05/1939,kaueotavioigormoraes_@facebook.com,Rua Raimundo Correia,AC,80,Juliana Fernanda Sophie ,Kaue Otavio Igor Moraes,529,Gemeos,AB+,
344,Mathias Velho,92330-160,Canoas,921.764.567-26,11/03/1957,sebastiaomarcosviniciushenryrodrigues_@sandvik.com,Rua Livramento,RS,62,Fernanda Antonia ,Sebastiao Marcos Vinicius Henry Rodrigues,108,Peixes,AB+,
345,Jardim Renascenca,65075-902,Sao Luis,261.923.381-08,11/10/1994,ruancesarassuncao-92@escritoriogold.com.br,Rua das Andirobas 05,MA,25,Renata Maya ,Ruan Cesar Assuncao,718,Libra,O+,
346,Guarapes,59074-627,Natal,994.740.581-80,04/05/1992,vitorkauedapaz_@id.uff.br,Travessa Delfinopolis,RN,27,Benedita Lais Vanessa ,Vitor Kaue da Paz,541,Touro,AB-,
347,Mathias Velho,92330-000,Canoas,263.955.632-03,12/06/1949,renatofabiolopes_@iacit.com.br,Avenida Rio Grande do Sul,RS,70,Bianca Patricia Vera ,Renato Fabio Lopes,104,Gemeos,AB+,
348,Jardim Novo Horizonte,78058-677,Cuiaba,547.358.396-23,23/07/1939,henriqueosvaldodias-72@guiamaritimo.com.br,Rua Niteroi,MT,80,Josefa Luna Vitoria ,Henrique Osvaldo Dias,303,Leao,B-,
349,Ronaldo Aragao,76814-220,Porto Velho,369.749.346-96,23/01/1986,severinoenricopietrobarbosa_@ygui.com.br,Rua Tracaja,RO,33,Ester Daiane ,Severino Enrico Pietro Barbosa,373,Aquario,AB-,
